"964-1" "964-10" "964-11" "964-12" "964-13" "964-14" "964-15" "964-2" "964-3" "964-4" "964-5" "964-6"
"100040970" 5698 2346 9420 9740 2946 3789 4605 12690 3390 5994 4437 28394
"100040972" 23 8 12 7 8 11 9 24 6 19 42 51
"100040999" 36 6 30 29 12 24 13 114 30 28 40 101
"100041014" 0 0 0 0 0 0 0 0 0 0 0 0
"100041034" 3 0 0 0 0 0 0 2 0 0 2 5
"100041062" 0 0 0 0 0 1 0 0 1 0 0 1
"100041077" 74 0 0 0 0 0 0 0 0 0 0 0
"100041102" 2 0 2 2 0 0 0 3 3 0 2 2
"100041151" 54 13 26 36 7 24 19 116 30 39 42 125
"100041187" 0 0 0 0 0 0 0 0 0 0 0 0
"100041223" 0 0 0 0 0 0 0 0 0 0 0 0
"100041230" 140 78 194 118 74 119 228 192 118 156 69 1170
"100041231" 453 203 452 319 222 271 461 849 360 256 349 1228
"100041250" 0 0 4 0 0 0 0 0 0 0 0 4
"100041253" 2 0 2 2 0 0 0 3 3 0 2 2
"100041261" 0 0 2 0 0 0 0 0 0 0 0 7
"100041273" 4539 1820 4162 4073 1895 2351 3268 8065 2285 3014 2532 13860
"100041281" 0 0 0 0 0 0 0 0 0 0 0 1
"100041294" 1 0 1 3 0 0 0 1 0 1 0 9
"100041296" 0 0 0 0 0 0 0 0 0 0 0 0
"100041306" 2 0 0 0 0 0 3 4 2 0 2 12
"100041311" 0 0 0 0 0 3 0 5 0 0 0 1
"100041346" 0 0 0 0 0 0 0 0 0 0 0 0
"100041347" 0 0 0 0 0 0 0 0 0 0 0 2
"100041351" 3 0 1 0 1 0 0 1 0 0 1 7
"100041352" 3 0 0 0 0 0 0 0 0 0 0 0
"100041354" 0 0 0 1 0 0 0 0 3 0 0 2
"100041375" 0 0 0 0 0 0 0 1 0 0 0 1
"100041379" 23 5 3 10 6 19 13 47 16 11 5 20
"100041412" 0 0 2 0 0 0 0 3 0 0 1 27
"100041433" 27 5 29 21 2 8 41 68 17 10 21 17
"100041449" 0 0 0 0 0 0 0 0 0 0 0 0
"100041480" 12 0 16 8 9 8 0 4 16 12 0 34
"100041488" 0 0 3 0 0 0 0 0 0 0 0 3
